timestamp,num_clients,reward,Q_value,policy,tx_power_1,width_1,obss_pd_1,tx_power_2,width_2,obss_pd_2,tx_power_3,width_3,obss_pd_3,p50_throughput_1,p95_retry_1,p50_throughput_2,p95_retry_2,p50_throughput_3,p95_retry_3
2025-01-01 00:00:00,22,33.66242745428115,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,20.44002509826987,1.0,8.953554321078851,13.34999999999999,12.55172412971324,1.0
2025-01-01 01:00:00,25,59.23406905379086,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,11.555555555555555,1.75,4.482758620689655,1.0,48.1481358299266,1.0
2025-01-01 02:00:00,20,45.276901504504266,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,20.248168645981966,1.0,5.909090909090909,20.0,24.733278313067757,1.0
2025-01-01 03:00:00,22,35.06179478434508,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,3.4210526315789473,16.199999999999996,3.333333333333333,1.0,31.517285362642678,1.0
2025-01-01 04:00:00,20,53.62519157989985,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,18.57142857142857,1.0,8.387096774193548,1.0,26.666666234277727,1.0
2025-01-01 05:00:00,15,104.06672048208993,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,62.59053000589947,1.0,4.333333333333333,1.0,37.14285714285714,1.0
2025-01-01 06:00:00,13,74.57159711872826,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,65.0,1.0,8.125,1.0,22.060606060606062,15.25
2025-01-01 07:00:00,13,20.496983322208845,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,33.45188980801835,1.95,5.3061224489795915,2.0,11.818181818181818,17.14999999999999
2025-01-01 08:00:00,9,143.08928705906317,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,7.222222222222221,1.0,21.11428694494834,1.0,114.75277789189262,1.0
2025-01-01 09:00:00,10,95.858349405255,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,65.0,1.0,4.89674168740323,1.0,25.961607717851763,1.0
2025-01-01 10:00:00,6,168.983184595368,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,130.0,1.0,32.3953796372192,1.0,6.587804958148793,1.0
2025-01-01 11:00:00,5,223.82873661658243,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,64.99985807818102,1.0,65.0,1.0,93.8288785384014,1.0
2025-01-01 12:00:00,5,218.679714593307,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,130.0,1.0,16.25,19.05,87.8266962206036,1.0
2025-01-01 13:00:00,5,175.4501462322636,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,51.95027399927174,1.0,32.5,1.0,90.99987223299186,1.0
2025-01-01 14:00:00,7,270.8333232630068,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,7.222222222222221,1.0,3.611101040784541,1.0,260.0,1.0
2025-01-01 15:00:00,7,340.6756811748046,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,15.69811320754717,1.0,65.0,1.0,259.9775679672574,1.0
2025-01-01 16:00:00,10,94.20188930439076,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,46.03745523192182,1.95,10.399999867078773,1.0,60.19293803632643,1.0
2025-01-01 17:00:00,12,54.6282372598162,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,13.68421052631579,1.0,7.222222222222221,1.9,37.14285714285714,1.0
2025-01-01 18:00:00,14,34.692749099165994,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,8.333333333333332,15.25,10.509937375370662,1.0,23.636363636363637,1.0
2025-01-01 19:00:00,17,54.28127784991938,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,11.959849282259851,1.0,2.3214285676595225,1.0,40.0,1.0
2025-01-01 20:00:00,21,19.0,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,2.888888888888889,1.0,1.6666666666666665,1.0,14.444444444444443,1.0
2025-01-01 21:00:00,21,44.94644997314785,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,27.02022290227534,1.0,4.56140350877193,15.25,17.627118644067796,1.0
2025-01-01 22:00:00,22,24.001978275445964,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,10.858835132302822,1.0,3.5135135135135136,1.0,9.62962962962963,1.0
2025-01-01 23:00:00,24,40.82737996082975,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,35.13508744505313,1.0,2.2387444402142354,11.44999999999998,5.496768983880182,1.0
2025-01-02 00:00:00,24,26.266809599112644,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,6.759877934796171,1.0,3.333333333333333,9.549999999999986,19.157891524700418,1.0
2025-01-02 01:00:00,25,19.688529591877867,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,7.536231884057971,1.0,1.2425212301008122,1.0,10.909776477719083,1.0
2025-01-02 02:00:00,24,45.88205912517661,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,34.72882853300809,1.0,4.727272727272727,1.0,10.281532583833265,1.5999999999999996
2025-01-02 03:00:00,20,58.42119863408082,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,21.666666666666664,1.0,2.9545454545454546,1.0,33.7999865128687,1.0
2025-01-02 04:00:00,18,55.66165655054692,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,27.999976831550143,1.0,3.6395991688198643,1.0,24.022080550176916,1.0
2025-01-02 05:00:00,16,22.02525760190668,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,32.5,1.8499999999999996,5.707198572460426,1.75,18.24561403508772,15.25
2025-01-02 06:00:00,16,89.20299730617245,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,17.93103448275862,1.0,7.027027027027027,1.0,64.2449357963868,1.0
2025-01-02 07:00:00,14,49.21751992526426,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,32.49999997425171,1.0,3.586206819699423,1.0,23.636363636363637,1.7999999999999998
2025-01-02 08:00:00,9,251.46457850118048,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,129.99993203653403,1.0,5.909090909090909,1.0,115.55555555555554,1.0
2025-01-02 09:00:00,8,144.83817933533678,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,9.88618353186693,1.0,4.952059391639352,1.0,129.9999364118305,1.0
2025-01-02 10:00:00,8,118.45324007310637,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,61.17647058823529,19.05,13.0,1.0,102.24187678763471,1.0
2025-01-02 11:00:00,5,103.50154285147968,0.0,static,15.0,40.0,-82.0,18.0,20.0,-82.0,15.0,80.0,-82.0,13.0,1.0,44.28078214858743,1.0,46.220760702892264,1.0
